line,TEV_geno,FT_geno,TEV_line,FT_line,sample,tray,position,dtf,rosette_leaves,cauline_leaves
Col-0,none,none,none,none,1,1,16,18,11,3
Col-0,none,none,none,none,2,1,19,21,11,3
Col-0,none,none,none,none,3,1,30,21,12,3
Col-0,none,none,none,none,4,1,35,20,9,3
Col-0,none,none,none,none,5,1,42,17,10,3
Col-0,none,none,none,none,6,1,45,20,10,3
Col-0,none,none,none,none,7,1,46,21,12,3
Col-0,none,none,none,none,8,2,19,17,8,3
Col-0,none,none,none,none,9,2,21,18,10,3
Col-0,none,none,none,none,10,2,26,18,11,3
Col-0,none,none,none,none,11,2,49,17,9,3
Col-0,none,none,none,none,12,2,51,18,10,3
Col-0,none,none,none,none,13,3,14,17,10,2
Col-0,none,none,none,none,14,3,17,18,9,3
Col-0,none,none,none,none,15,3,36,19,10,3
Col-0,none,none,none,none,16,3,44,19,9,3
Col-0,none,none,none,none,17,3,48,19,9,3
Col-0,none,none,none,none,18,3,51,19,10,3
Col-0,none,none,none,none,19,4,7,17,10,3
Col-0,none,none,none,none,20,4,11,20,11,3
Col-0,none,none,none,none,21,4,24,16,8,3
Col-0,none,none,none,none,22,5,5,18,9,3
Col-0,none,none,none,none,23,5,17,20,11,3
Col-0,none,none,none,none,24,5,18,18,10,3
Col-0,none,none,none,none,25,5,21,20,11,3
Col-0,none,none,none,none,26,5,38,18,10,3
Col-0,none,none,none,none,27,5,41,18,9,2
Col-0,none,none,none,none,28,5,45,17,10,3
Col-0,none,none,none,none,29,6,16,17,11,3
Col-0,none,none,none,none,30,6,20,17,10,3
Col-0,none,none,none,none,31,6,42,18,10,2
Col-0,none,none,none,none,32,6,46,18,11,3
Col-0,none,none,none,none,33,6,50,17,9,2
ft-10,none,none,none,none,1,1,1,32,28,5
ft-10,none,none,none,none,2,1,13,28,30,7
ft-10,none,none,none,none,3,1,25,30,26,6
ft-10,none,none,none,none,4,1,32,30,29,5
ft-10,none,none,none,none,5,1,51,28,20,4
ft-10,none,none,none,none,6,2,14,28,26,6
ft-10,none,none,none,none,7,2,15,39,30,7
ft-10,none,none,none,none,8,2,32,32,28,6
ft-10,none,none,none,none,9,2,42,28,24,6
ft-10,none,none,none,none,10,3,1,30,27,6
ft-10,none,none,none,none,11,3,5,30,30,7
ft-10,none,none,none,none,12,3,12,32,28,6
ft-10,none,none,none,none,13,3,24,29,24,6
ft-10,none,none,none,none,14,3,29,30,27,6
ft-10,none,none,none,none,15,3,31,31,25,6
ft-10,none,none,none,none,16,4,9,28,28,5
ft-10,none,none,none,none,17,4,43,28,28,7
ft-10,none,none,none,none,18,4,51,35,28,5
ft-10,none,none,none,none,19,5,10,31,27,6
ft-10,none,none,none,none,20,5,16,30,29,6
ft-10,none,none,none,none,21,5,23,33,28,6
ft-10,none,none,none,none,22,5,32,29,27,7
ft-10,none,none,none,none,23,5,35,31,28,7
ft-10,none,none,none,none,24,5,36,30,29,5
ft-10,none,none,none,none,25,5,44,34,30,6
ft-10,none,none,none,none,26,5,47,30,28,6
ft-10,none,none,none,none,27,5,48,29,27,7
ft-10,none,none,none,none,28,6,2,28,27,6
ft-10,none,none,none,none,29,6,6,27,25,6
ft-10,none,none,none,none,30,6,15,29,25,6
ft-10,none,none,none,none,31,6,24,30,28,7
ft-10,none,none,none,none,32,6,37,32,27,6
ft-10,none,none,none,none,33,6,44,30,30,6
pFK428#8,none,yes,none,pFK428#8,1,1,4,16,8,3
pFK428#8,none,yes,none,pFK428#8,2,1,9,18,10,2
pFK428#8,none,yes,none,pFK428#8,3,1,23,19,9,2
pFK428#8,none,yes,none,pFK428#8,4,1,36,17,8,2
pFK428#8,none,yes,none,pFK428#8,5,1,40,18,9,2
pFK428#8,none,yes,none,pFK428#8,6,1,50,16,8,2
pFK428#8,none,yes,none,pFK428#8,7,2,10,21,10,3
pFK428#8,none,yes,none,pFK428#8,8,2,12,17,9,2
pFK428#8,none,yes,none,pFK428#8,9,2,17,18,9,3
pFK428#8,none,yes,none,pFK428#8,10,2,35,18,8,2
pFK428#8,none,yes,none,pFK428#8,11,2,46,20,10,3
pFK428#8,none,yes,none,pFK428#8,12,3,13,18,9,2
pFK428#8,none,yes,none,pFK428#8,13,3,22,17,9,2
pFK428#8,none,yes,none,pFK428#8,14,3,34,17,8,2
pFK428#8,none,yes,none,pFK428#8,15,3,37,19,10,3
pFK428#8,none,yes,none,pFK428#8,16,3,43,18,9,3
pFK428#8,none,yes,none,pFK428#8,17,3,45,17,9,3
pFK428#8,none,yes,none,pFK428#8,18,3,50,17,8,2
pFK428#8,none,yes,none,pFK428#8,19,4,4,17,9,3
pFK428#8,none,yes,none,pFK428#8,20,4,21,21,10,2
pFK428#8,none,yes,none,pFK428#8,21,4,30,17,8,2
pFK428#8,none,yes,none,pFK428#8,22,4,33,17,9,2
pFK428#8,none,yes,none,pFK428#8,23,4,37,18,10,3
pFK428#8,none,yes,none,pFK428#8,24,4,38,18,9,2
pFK428#8,none,yes,none,pFK428#8,25,4,39,17,9,2
pFK428#8,none,yes,none,pFK428#8,26,4,50,16,9,2
pFK428#8,none,yes,none,pFK428#8,27,5,31,18,9,2
pFK428#8,none,yes,none,pFK428#8,28,5,33,16,9,3
pFK428#8,none,yes,none,pFK428#8,29,6,19,17,10,3
pFK428#8,none,yes,none,pFK428#8,30,6,49,19,10,3
pFK428#9,none,yes,none,pFK428#9,1,1,8,25,15,4
pFK428#9,none,yes,none,pFK428#9,4,1,33,21,12,3
pFK428#9,none,yes,none,pFK428#9,5,1,34,21,14,3
pFK428#9,none,yes,none,pFK428#9,6,1,39,21,14,4
pFK428#9,none,yes,none,pFK428#9,7,1,43,21,14,4
pFK428#9,none,yes,none,pFK428#9,8,2,13,23,15,4
pFK428#9,none,yes,none,pFK428#9,9,2,20,23,13,3
pFK428#9,none,yes,none,pFK428#9,10,2,23,21,14,4
pFK428#9,none,yes,none,pFK428#9,11,2,33,21,13,3
pFK428#9,none,yes,none,pFK428#9,13,2,47,18,13,3
pFK428#9,none,yes,none,pFK428#9,14,2,50,20,12,4
pFK428#9,none,yes,none,pFK428#9,15,3,3,20,9,2
pFK428#9,none,yes,none,pFK428#9,16,3,9,22,15,5
pFK428#9,none,yes,none,pFK428#9,17,3,27,21,12,3
pFK428#9,none,yes,none,pFK428#9,18,3,42,21,11,3
pFK428#9,none,yes,none,pFK428#9,19,4,5,21,14,4
pFK428#9,none,yes,none,pFK428#9,20,4,14,18,12,4
pFK428#9,none,yes,none,pFK428#9,21,4,20,24,13,3
pFK428#9,none,yes,none,pFK428#9,22,4,26,21,15,3
pFK428#9,none,yes,none,pFK428#9,23,4,28,23,14,4
pFK428#9,none,yes,none,pFK428#9,24,4,29,22,14,3
pFK428#9,none,yes,none,pFK428#9,25,4,40,26,16,4
pFK428#9,none,yes,none,pFK428#9,26,5,4,22,15,3
pFK428#9,none,yes,none,pFK428#9,27,5,8,18,12,3
pFK428#9,none,yes,none,pFK428#9,28,5,39,21,13,3
pFK428#9,none,yes,none,pFK428#9,30,6,5,18,13,3
pFK491,yes,none,pFK491,none,1,1,21,33,29,7
pFK491,yes,none,pFK491,none,2,1,29,33,26,7
